name,genre,type,sum
ketsuekigata-kun,comedy,tv,ketsuekigata-kun comedy tv
kimagure orange☆road: shounen jump specia,"drama, romance, shounen",ova,"kimagure orange☆road: shounen jump specia drama, romance, shounen ova"
kinnikuman ii sei: muscle ninjin soudatsu sen! choujin daisenso,"action, comedy, drama, martial arts, romance, samurai",movie,"kinnikuman ii sei: muscle ninjin soudatsu sen! choujin daisenso action, comedy, drama, martial arts, romance, samurai movie"
kiss dum: engage plane,"mecha, military, sci-fi",tv,"kiss dum: engage plane mecha, military, sci-fi tv"
konjiki no gash bell!!: hashire gash!! ubawareta umago,"adventure, comedy, magic, shounen, supernatural",ova,"konjiki no gash bell!!: hashire gash!! ubawareta umago adventure, comedy, magic, shounen, supernatural ova"
kyokujitsu no kanta,"action, drama, historical, military",ova,"kyokujitsu no kanta action, drama, historical, military ova"
loveless special,"comedy, fantasy, romance, shounen ai, supernatural",special,"loveless special comedy, fantasy, romance, shounen ai, supernatural special"
lupin iii (2015): italian gam,"action, adventure, comedy, shounen",special,"lupin iii (2015): italian gam action, adventure, comedy, shounen special"
mahou no princess minky mom,"magic, shoujo",tv,"mahou no princess minky mom magic, shoujo tv"
mamotte shugogetten,"comedy, fantasy, magic, romance, shounen",tv,"mamotte shugogetten comedy, fantasy, magic, romance, shounen tv"
meiji tokyo renka movie: yumihari no serenad,"fantasy, harem, romance, shoujo",movie,"meiji tokyo renka movie: yumihari no serenad fantasy, harem, romance, shoujo movie"
mirai nikki (tv): ura mirai nikk,"action, comedy, mystery, psychological, shounen, supernatural, thriller",special,"mirai nikki (tv): ura mirai nikk action, comedy, mystery, psychological, shounen, supernatural, thriller special"
moero! top strike,"action, shounen, sports",tv,"moero! top strike action, shounen, sports tv"
nagareboshi len,"romance, shoujo",ova,"nagareboshi len romance, shoujo ova"
nichijou: tanken nichijou no mach,"comedy, school, slice of life",special,"nichijou: tanken nichijou no mach comedy, school, slice of life special"
okusama ga seitokaichou! ova: okusama gekijo,"comedy, shounen",special,"okusama ga seitokaichou! ova: okusama gekijo comedy, shounen special"
pokemon best wishes! season 2: decolora adventure - iris vs. ibuki! dragon master e no michi!,"action, adventure, comedy, fantasy, kids",special,"pokemon best wishes! season 2: decolora adventure - iris vs. ibuki! dragon master e no michi! action, adventure, comedy, fantasy, kids special"
pokemon: pichu to pikach,"adventure, comedy, fantasy, kids",movie,"pokemon: pichu to pikach adventure, comedy, fantasy, kids movie"
skull ma,"action, mystery, super power",tv,"skull ma action, mystery, super power tv"
soreyuke! uchuu senkan yamamoto yohko (1999,"action, adventure, sci-fi",tv,"soreyuke! uchuu senkan yamamoto yohko (1999 action, adventure, sci-fi tv"
super robot taisen og the animatio,"mecha, sci-fi, shounen, space",ova,"super robot taisen og the animatio mecha, sci-fi, shounen, space ova"
teekyuu ,"comedy, shounen, sports",tv,"teekyuu  comedy, shounen, sports tv"
tokimeki memorial: only love special,"comedy, school",special,"tokimeki memorial: only love special comedy, school special"
uchuu senshi baldio,"adventure, drama, mecha, sci-fi, shounen, space",tv,"uchuu senshi baldio adventure, drama, mecha, sci-fi, shounen, space tv"
absolute du,"action, ecchi, harem, romance, school, supernatural",tv,"absolute du action, ecchi, harem, romance, school, supernatural tv"
ai no gakko cuore monogatar,"drama, historical, slice of life",tv,"ai no gakko cuore monogatar drama, historical, slice of life tv"
akame ga kill! theate,comedy,ona,akame ga kill! theate comedy ona
amaenaide yo!! katsu!!: damasarenaide yo!,"comedy, ecchi, romance, supernatural",special,"amaenaide yo!! katsu!!: damasarenaide yo! comedy, ecchi, romance, supernatural special"
bayonetta: bloody fat,"action, demons, fantasy, super power",movie,"bayonetta: bloody fat action, demons, fantasy, super power movie"
chirorin mura monogatar,"kids, slice of life",tv,"chirorin mura monogatar kids, slice of life tv"
chuunibyou demo koi ga shitai!: depth of field - ai to nikushimi gekijo,"action, mecha",special,"chuunibyou demo koi ga shitai!: depth of field - ai to nikushimi gekijo action, mecha special"
d.c.s.s: da capo second season omak,"comedy, harem, romance",special,"d.c.s.s: da capo second season omak comedy, harem, romance special"
di gi charat: hoshi no tab,comedy,movie,di gi charat: hoshi no tab comedy movie
dog days reca,"action, adventure, fantasy, magic",special,"dog days reca action, adventure, fantasy, magic special"
esper mam,"comedy, ecchi, magic, school, super power, supernatural",tv,"esper mam comedy, ecchi, magic, school, super power, supernatural tv"
five star storie,"action, drama, fantasy, mecha, sci-fi",movie,"five star storie action, drama, fantasy, mecha, sci-fi movie"
fushigi no umi no nadia special,"adventure, sci-fi",special,"fushigi no umi no nadia special adventure, sci-fi special"
gamb,"demons, historical",movie,"gamb demons, historical movie"
ginga tetsudou 999: glass no clai,"drama, sci-fi, space",movie,"ginga tetsudou 999: glass no clai drama, sci-fi, space movie"
gs mikami: gokuraku daisakusen!,"comedy, fantasy",movie,"gs mikami: gokuraku daisakusen! comedy, fantasy movie"
hamelin no violin hik,"adventure, drama, fantasy",tv,"hamelin no violin hik adventure, drama, fantasy tv"
happy☆lesson: hoka hoka★kanna to futari kir,"comedy, harem, romance",special,"happy☆lesson: hoka hoka★kanna to futari kir comedy, harem, romance special"
idaten jum,"game, school, sports",tv,"idaten jum game, school, sports tv"
iketeru futar,"comedy, ecchi, romance, school, seinen",tv,"iketeru futar comedy, ecchi, romance, school, seinen tv"
jungle taitei (1989,"adventure, drama",tv,"jungle taitei (1989 adventure, drama tv"
juubee ninpuuchou: ryuuhougyoku-he,"adventure, horror, magic, martial arts, shounen, supernatural",tv,"juubee ninpuuchou: ryuuhougyoku-he adventure, horror, magic, martial arts, shounen, supernatural tv"
kakutou bijin wulon,"action, ecchi, martial arts",tv,"kakutou bijin wulon action, ecchi, martial arts tv"
kamen rider den-o: imagin anim,"action, adventure, comedy, kids, super power",ova,"kamen rider den-o: imagin anim action, adventure, comedy, kids, super power ova"
kanamew,"drama, romance, shoujo ai, supernatural",ona,"kanamew drama, romance, shoujo ai, supernatural ona"
kindaichi shounen no jikenbo: shinigami byouin satsujin jike,"mystery, shounen",special,"kindaichi shounen no jikenbo: shinigami byouin satsujin jike mystery, shounen special"
koharu biyor,"comedy, ecchi, sci-fi",ova,"koharu biyor comedy, ecchi, sci-fi ova"
kouchuu ouja mushiking: mori no tami no densets,fantasy,tv,kouchuu ouja mushiking: mori no tami no densets fantasy tv
medaka no gakko,comedy,ova,medaka no gakko comedy ova
megane na kanoj,"comedy, romance, school, shounen",ova,"megane na kanoj comedy, romance, school, shounen ova"
mezzo ds,"action, adventure, comedy, mystery, sci-fi",tv,"mezzo ds action, adventure, comedy, mystery, sci-fi tv"
occultic;nin,"mystery, sci-fi",tv,"occultic;nin mystery, sci-fi tv"
oniichan dakedo ai sae areba kankeinai yo ne,"comedy, ecchi, harem, romance, school",tv,"oniichan dakedo ai sae areba kankeinai yo ne comedy, ecchi, harem, romance, school tv"
ore no imouto ga konnani kawaii wake ga nai.: ore no imouto ga konnani eroge na wake na,"comedy, romance",special,"ore no imouto ga konnani kawaii wake ga nai.: ore no imouto ga konnani eroge na wake na comedy, romance special"
passio,music,music,passio music music
planetarium uchuu kyoudai: itten no hikar,"comedy, sci-fi, seinen, slice of life",movie,"planetarium uchuu kyoudai: itten no hikar comedy, sci-fi, seinen, slice of life movie"
pokemon best wishes,"action, adventure, comedy, fantasy, kids",tv,"pokemon best wishes action, adventure, comedy, fantasy, kids tv"
pokemon best wishes! season ,"action, adventure, comedy, fantasy, kids",tv,"pokemon best wishes! season  action, adventure, comedy, fantasy, kids tv"
"pokemon fushigi no dungeon: toki no tankentai, yami no tankenta","adventure, fantasy",special,"pokemon fushigi no dungeon: toki no tankentai, yami no tankenta adventure, fantasy special"
pokemon: bokutachi pichu brothers - party wa oosawagi! no mak,"adventure, comedy, fantasy, kids",special,"pokemon: bokutachi pichu brothers - party wa oosawagi! no mak adventure, comedy, fantasy, kids special"
princess princess special,"comedy, school, shoujo",special,"princess princess special comedy, school, shoujo special"
pyuu to fuku! jagua,"comedy, music, shounen",ova,"pyuu to fuku! jagua comedy, music, shounen ova"
rokujouma no shinryakusha!,"comedy, romance, school, supernatural",special,"rokujouma no shinryakusha! comedy, romance, school, supernatural special"
seirei tsukai no blade dance special,"action, ecchi, fantasy, school, supernatural",special,"seirei tsukai no blade dance special action, ecchi, fantasy, school, supernatural special"
tamala 2010: a punk cat in spac,"comedy, dementia, psychological, sci-fi",movie,"tamala 2010: a punk cat in spac comedy, dementia, psychological, sci-fi movie"
toki wa meguru: tokyo statio,slice of life,ona,toki wa meguru: tokyo statio slice of life ona
true tears epilogu,"drama, music, romance",music,"true tears epilogu drama, music, romance music"
wanwan sanjuush,"adventure, historical",tv,"wanwan sanjuush adventure, historical tv"
wellber no monogatari: sisters of wellbe,"action, adventure, comedy, drama, fantasy, historical",tv,"wellber no monogatari: sisters of wellbe action, adventure, comedy, drama, fantasy, historical tv"
ai tenshi densetsu wedding peac,"adventure, comedy, magic, romance, shoujo",tv,"ai tenshi densetsu wedding peac adventure, comedy, magic, romance, shoujo tv"
aoki hagane no arpeggio: ars nova - kirikuma,"comedy, parody",special,"aoki hagane no arpeggio: ars nova - kirikuma comedy, parody special"
b-project: kodou＊ambitiou,"music, shoujo",tv,"b-project: kodou＊ambitiou music, shoujo tv"
bakuten shoot beyblade 200,"action, adventure, comedy, sci-fi, shounen, sports",tv,"bakuten shoot beyblade 200 action, adventure, comedy, sci-fi, shounen, sports tv"
betterma,"action, adventure, comedy, drama, horror, mecha, mystery, psychological, sci-fi, shounen",tv,"betterma action, adventure, comedy, drama, horror, mecha, mystery, psychological, sci-fi, shounen tv"
chance triangle sessio,"drama, music, slice of life",tv,"chance triangle sessio drama, music, slice of life tv"
choujikuu kidan southern cros,"action, drama, mecha, sci-fi",tv,"choujikuu kidan southern cros action, drama, mecha, sci-fi tv"
crayon shin-chan movie 16: chou arashi wo yobu kinpoko no yuush,"comedy, ecchi, kids, school, shounen, slice of life",movie,"crayon shin-chan movie 16: chou arashi wo yobu kinpoko no yuush comedy, ecchi, kids, school, shounen, slice of life movie"
"doraemon movie: boku, momotarou no nanna no s","adventure, fantasy, kids, sci-fi, shounen",movie,"doraemon movie: boku, momotarou no nanna no s adventure, fantasy, kids, sci-fi, shounen movie"
dragon quest: dai no daibouken tachiagare!! aban no shit,"action, adventure, fantasy, magic, shounen",movie,"dragon quest: dai no daibouken tachiagare!! aban no shit action, adventure, fantasy, magic, shounen movie"
ega,"music, slice of life",music,"ega music, slice of life music"
eureka seven: new orde,"adventure, drama, mecha, romance, sci-fi",special,"eureka seven: new orde adventure, drama, mecha, romance, sci-fi special"
gegege no kitarou (1985,"comedy, supernatural",tv,"gegege no kitarou (1985 comedy, supernatural tv"
grendizer: getter robo g - great mazinger kessen! daikaiju,"action, mecha, sci-fi, shounen",movie,"grendizer: getter robo g - great mazinger kessen! daikaiju action, mecha, sci-fi, shounen movie"
highschool of the dead: drifters of the dea,"comedy, ecchi, supernatural",ova,"highschool of the dead: drifters of the dea comedy, ecchi, supernatural ova"
honoo no tenkouse,"action, comedy, martial arts, parody, school, shounen, sports",ova,"honoo no tenkouse action, comedy, martial arts, parody, school, shounen, sports ova"
igpx: immortal grand pri,"mecha, sci-fi, shounen, sports",tv,"igpx: immortal grand pri mecha, sci-fi, shounen, sports tv"
ikkitousen: great guardians special,"comedy, ecchi",special,"ikkitousen: great guardians special comedy, ecchi special"
jungle taitei: susume leo,"adventure, shounen",tv,"jungle taitei: susume leo adventure, shounen tv"
katte ni kaizou special,"comedy, parody, school, sci-fi, shounen",special,"katte ni kaizou special comedy, parody, school, sci-fi, shounen special"
kita e.: diamond dust drop,"drama, romance, slice of life",tv,"kita e.: diamond dust drop drama, romance, slice of life tv"
kuiba: zhi shiwanhuoj,"action, adventure, fantasy, kids",movie,"kuiba: zhi shiwanhuoj action, adventure, fantasy, kids movie"
kuusou kagaku sekai gulliver bo,"action, adventure, fantasy, magic, mecha",tv,"kuusou kagaku sekai gulliver bo action, adventure, fantasy, magic, mecha tv"
lupin iii: green vs. re,"action, comedy, mystery, shounen",ova,"lupin iii: green vs. re action, comedy, mystery, shounen ova"
mahou no yousei persi,"comedy, magic",tv,"mahou no yousei persi comedy, magic tv"
"maoyuu maou yuusha: kono monogatari wa, daniku dake dewanai no ja","adventure, demons, fantasy, romance",special,"maoyuu maou yuusha: kono monogatari wa, daniku dake dewanai no ja adventure, demons, fantasy, romance special"
metal fight beyblade vs. taiyou: shakunetsu no shinryakusha sol blaz,"adventure, comedy, sports",movie,"metal fight beyblade vs. taiyou: shakunetsu no shinryakusha sol blaz adventure, comedy, sports movie"
mm! special,"comedy, ecchi, school",special,"mm! special comedy, ecchi, school special"
nagato yuki-chan no shoushits,"comedy, romance, school, seinen, slice of life",tv,"nagato yuki-chan no shoushits comedy, romance, school, seinen, slice of life tv"
nanaka 6/17 specia,"comedy, drama, romance, shounen, slice of life",special,"nanaka 6/17 specia comedy, drama, romance, shounen, slice of life special"
nurse witch komugi-chan magikart,"comedy, magic, parody",ova,"nurse witch komugi-chan magikart comedy, magic, parody ova"
ore wa teppe,"action, shounen, sports",tv,"ore wa teppe action, shounen, sports tv"
shamanic princes,"action, fantasy, magic, romance",ova,"shamanic princes action, fantasy, magic, romance ova"
sora no metho,"drama, fantasy, school, slice of life",tv,"sora no metho drama, fantasy, school, slice of life tv"
sword art online ii: sword art offline i,comedy,special,sword art online ii: sword art offline i comedy special
teekyu,"comedy, school, shounen, sports",tv,"teekyu comedy, school, shounen, sports tv"
tetsujin 28-gou: hakuchuu no zangets,"action, adventure, mecha, sci-fi",movie,"tetsujin 28-gou: hakuchuu no zangets action, adventure, mecha, sci-fi movie"
the hakkende,"action, adventure, demons, historical, martial arts, samurai, shounen",ova,"the hakkende action, adventure, demons, historical, martial arts, samurai, shounen ova"
tide-line blu,"action, adventure, drama, military, shounen",tv,"tide-line blu action, adventure, drama, military, shounen tv"
univers,"fantasy, music",music,"univers fantasy, music music"
wooser no sono higurashi: kakusei-he,"comedy, fantasy, slice of life",tv,"wooser no sono higurashi: kakusei-he comedy, fantasy, slice of life tv"
wooser no sono higurashi: mugen-he,"comedy, fantasy, slice of life",tv,"wooser no sono higurashi: mugen-he comedy, fantasy, slice of life tv"
009 re:cybor,"action, adventure, mecha, sci-fi",movie,"009 re:cybor action, adventure, mecha, sci-fi movie"
anime de wakaru shinryounaik,"comedy, seinen",ona,"anime de wakaru shinryounaik comedy, seinen ona"
baka to test to shoukanjuu: mondai - christmas ni tsuite kotae nasa,"comedy, romance",ona,"baka to test to shoukanjuu: mondai - christmas ni tsuite kotae nasa comedy, romance ona"
bari bari densets,"action, drama, shounen, sports",ova,"bari bari densets action, drama, shounen, sports ova"
chikyuu bouei kazok,"action, comedy, sci-fi, shounen",tv,"chikyuu bouei kazok action, comedy, sci-fi, shounen tv"
d.c.iii: da capo ii,"drama, ecchi, romance, school",tv,"d.c.iii: da capo ii drama, ecchi, romance, school tv"
digimon savers: agumon! gaomon! lalamon! bakuretsu! jougai last battle,"action, adventure, comedy, fantasy, sci-fi, supernatural",special,"digimon savers: agumon! gaomon! lalamon! bakuretsu! jougai last battle action, adventure, comedy, fantasy, sci-fi, supernatural special"
dragon ball z: atsumare! gokuu worl,"action, adventure, comedy, fantasy, martial arts, shounen, super power",ova,"dragon ball z: atsumare! gokuu worl action, adventure, comedy, fantasy, martial arts, shounen, super power ova"
fate/zero: onegai! einzbern soudanshits,comedy,special,fate/zero: onegai! einzbern soudanshits comedy special
freedom previsite,"action, adventure, sci-fi",ova,"freedom previsite action, adventure, sci-fi ova"
happy☆lesso,"comedy, harem, romance, school",ova,"happy☆lesso comedy, harem, romance, school ova"
hikari no densets,"music, romance, shoujo, sports",tv,"hikari no densets music, romance, shoujo, sports tv"
jewelpe,"fantasy, magic, shoujo",tv,"jewelpe fantasy, magic, shoujo tv"
kurogane communicatio,"action, adventure, drama, sci-fi",tv,"kurogane communicatio action, adventure, drama, sci-fi tv"
kyoushirou to towa no sora special,"drama, magic, romance, shounen",special,"kyoushirou to towa no sora special drama, magic, romance, shounen special"
mahou no star magical em,"comedy, magic, shoujo, slice of life",tv,"mahou no star magical em comedy, magic, shoujo, slice of life tv"
medarot damashi,"action, adventure, sci-fi",tv,"medarot damashi action, adventure, sci-fi tv"
mobile suit gundam age: memory of ede,"action, drama, mecha, military, sci-fi",ova,"mobile suit gundam age: memory of ede action, drama, mecha, military, sci-fi ova"
mouryou no hako specia,"mystery, seinen, supernatural, thriller",special,"mouryou no hako specia mystery, seinen, supernatural, thriller special"
musaigen no phantom world specia,"action, comedy, fantasy, supernatural",special,"musaigen no phantom world specia action, comedy, fantasy, supernatural special"
nekogami yaoyorozu: ohanami ghostbuster,"comedy, seinen, supernatural",ova,"nekogami yaoyorozu: ohanami ghostbuster comedy, seinen, supernatural ova"
nezha nao ha,kids,movie,nezha nao ha kids movie
no game no life special,"ecchi, fantasy, game",special,"no game no life special ecchi, fantasy, game special"
"ore, twintail ni narimasu","action, comedy, fantasy, romance, school, shounen",tv,"ore, twintail ni narimasu action, comedy, fantasy, romance, school, shounen tv"
otome wa boku ni koishiteru specia,"comedy, romance, school",special,"otome wa boku ni koishiteru specia comedy, romance, school special"
persona: trinity sou,"action, sci-fi, super power",tv,"persona: trinity sou action, sci-fi, super power tv"
sket dance: sd character flash anim,"comedy, school, shounen",ona,"sket dance: sd character flash anim comedy, school, shounen ona"
souryuude,"drama, mystery, super power, supernatural",ova,"souryuude drama, mystery, super power, supernatural ova"
spider riders: oracle no yuusha-tach,"action, adventure, mecha",tv,"spider riders: oracle no yuusha-tach action, adventure, mecha tv"
tales of gekijo,comedy,special,tales of gekijo comedy special
teekyuu ,"comedy, shounen, sports",tv,"teekyuu  comedy, shounen, sports tv"
the hous,"drama, fantasy, kids",movie,"the hous drama, fantasy, kids movie"
time bokan series: yatterma,"adventure, comedy, mecha",tv,"time bokan series: yatterma adventure, comedy, mecha tv"
tono to issh,"comedy, historical, parody, samurai, seinen",ova,"tono to issh comedy, historical, parody, samurai, seinen ova"
umi monogatari: anata ga ite kureta kot,"drama, fantasy, magic, romance, supernatural",tv,"umi monogatari: anata ga ite kureta kot drama, fantasy, magic, romance, supernatural tv"
ushinawareta mirai wo motomete: ushinawareta natsuyasumi wo motomet,romance,special,ushinawareta mirai wo motomete: ushinawareta natsuyasumi wo motomet romance special
warau salesma,"comedy, drama, seinen",tv,"warau salesma comedy, drama, seinen tv"
winter garde,"drama, romance, shoujo, slice of life",special,"winter garde drama, romance, shoujo, slice of life special"
xiao qia,"action, drama, fantasy, romance",movie,"xiao qia action, drama, fantasy, romance movie"
.hack//tasogare no udewa densets,"adventure, comedy, fantasy, game, sci-fi, shounen",tv,".hack//tasogare no udewa densets adventure, comedy, fantasy, game, sci-fi, shounen tv"
aishite knigh,"comedy, romance, shoujo",tv,"aishite knigh comedy, romance, shoujo tv"
akage no anne: green gables e no mich,"adventure, historical, shoujo, slice of life",movie,"akage no anne: green gables e no mich adventure, historical, shoujo, slice of life movie"
canaan: minorikawa report 201x shangha,"action, seinen",special,"canaan: minorikawa report 201x shangha action, seinen special"
choujuushin gravion zwe,"adventure, comedy, mecha, sci-fi, shounen",tv,"choujuushin gravion zwe adventure, comedy, mecha, sci-fi, shounen tv"
dog days&#039;&#039;: limone resort tenbou onsen,"ecchi, fantasy, magic",special,"dog days&#039;&#039;: limone resort tenbou onsen ecchi, fantasy, magic special"
doraemon: it&#039;s new year,"comedy, kids, sci-fi, shounen",special,"doraemon: it&#039;s new year comedy, kids, sci-fi, shounen special"
dragon ball gt: goku gaiden! yuuki no akashi wa suushinchu,"action, adventure, comedy, fantasy, martial arts, shounen, super power",special,"dragon ball gt: goku gaiden! yuuki no akashi wa suushinchu action, adventure, comedy, fantasy, martial arts, shounen, super power special"
e&#039;s otherwis,"adventure, comedy, drama, military, sci-fi, shounen, supernatural",tv,"e&#039;s otherwis adventure, comedy, drama, military, sci-fi, shounen, supernatural tv"
fatal fury: the motion pictur,"action, adventure, drama, martial arts, romance, shounen",movie,"fatal fury: the motion pictur action, adventure, drama, martial arts, romance, shounen movie"
gakumon!: ookami shoujo wa kujikena,"comedy, school, shounen",ona,"gakumon!: ookami shoujo wa kujikena comedy, school, shounen ona"
ganso tensai bakabo,"comedy, slice of life",tv,"ganso tensai bakabo comedy, slice of life tv"
ginga tetsudou 999: diamond ring no kanata ,"adventure, drama, sci-fi",movie,"ginga tetsudou 999: diamond ring no kanata  adventure, drama, sci-fi movie"
girls und panzer heartful tank disc: fushou - akiyama yukari no sensha kouz,"military, school",special,"girls und panzer heartful tank disc: fushou - akiyama yukari no sensha kouz military, school special"
gun frontie,"action, adventure, drama, historical, sci-fi, seinen",tv,"gun frontie action, adventure, drama, historical, sci-fi, seinen tv"
hagure yuusha no aesthetica: hajirai ippa,"comedy, ecchi",special,"hagure yuusha no aesthetica: hajirai ippa comedy, ecchi special"
hakugei densets,"adventure, sci-fi",tv,"hakugei densets adventure, sci-fi tv"
haou taikei ryuu knigh,"action, adventure, fantasy, mecha",tv,"haou taikei ryuu knigh action, adventure, fantasy, mecha tv"
hikyou tanken fam &amp; ihrli,"action, adventure, comedy, fantasy, magic",ova,"hikyou tanken fam &amp; ihrli action, adventure, comedy, fantasy, magic ova"
ikkitousen: xtreme xecutor special,"comedy, ecchi",special,"ikkitousen: xtreme xecutor special comedy, ecchi special"
jetter mar,"action, drama, mecha, sci-fi",tv,"jetter mar action, drama, mecha, sci-fi tv"
kemeko deluxe,"action, comedy, ecchi, romance, school, sci-fi, shounen",tv,"kemeko deluxe action, comedy, ecchi, romance, school, sci-fi, shounen tv"
koihime†musou ov,"comedy, fantasy, school",ova,"koihime†musou ov comedy, fantasy, school ova"
line offline: salaryma,comedy,tv,line offline: salaryma comedy tv
mach gogog,"adventure, cars, shounen, sports",tv,"mach gogog adventure, cars, shounen, sports tv"
mahou no princess minky momo: yume no naka no rond,"magic, shoujo",ova,"mahou no princess minky momo: yume no naka no rond magic, shoujo ova"
majokko megu-cha,"magic, shoujo",tv,"majokko megu-cha magic, shoujo tv"
mama wa poyopoyo saurus ga osuk,"comedy, kids, slice of life",tv,"mama wa poyopoyo saurus ga osuk comedy, kids, slice of life tv"
nanaka 6/1,"comedy, drama, romance, shounen, slice of life",tv,"nanaka 6/1 comedy, drama, romance, shounen, slice of life tv"
persona 4 the golden animatio,"adventure, mystery, school, sci-fi, super power, supernatural",tv,"persona 4 the golden animatio adventure, mystery, school, sci-fi, super power, supernatural tv"
pokemon xy: hakai no mayu to dianci,"adventure, fantasy, kids",movie,"pokemon xy: hakai no mayu to dianci adventure, fantasy, kids movie"
pokemon: ash&#039;s journe,"fantasy, kids",movie,"pokemon: ash&#039;s journe fantasy, kids movie"
princess tutu recap,"comedy, magic, romance, shoujo",special,"princess tutu recap comedy, magic, romance, shoujo special"
ranpo kitan: game of laplac,mystery,tv,ranpo kitan: game of laplac mystery tv
seikoku no dragona,"comedy, ecchi, fantasy, school",tv,"seikoku no dragona comedy, ecchi, fantasy, school tv"
shadow skill (1996,"adventure, drama, fantasy, shounen",ova,"shadow skill (1996 adventure, drama, fantasy, shounen ova"
shigofumi picture dram,comedy,special,shigofumi picture dram comedy special
space cobra pilo,"action, adventure, sci-fi, space",special,"space cobra pilo action, adventure, sci-fi, space special"
stratos ,"comedy, military, sci-fi, shounen",tv,"stratos  comedy, military, sci-fi, shounen tv"
takarajima memorial: yuunagi to yobareta otok,"adventure, drama, historical, mystery, supernatural",ova,"takarajima memorial: yuunagi to yobareta otok adventure, drama, historical, mystery, supernatural ova"
transformers galaxy forc,"adventure, mecha, sci-fi, shounen",tv,"transformers galaxy forc adventure, mecha, sci-fi, shounen tv"
utakata hanab,music,music,utakata hanab music music
wild arms: twilight veno,"action, adventure, fantasy, magic, sci-fi, vampire",tv,"wild arms: twilight veno action, adventure, fantasy, magic, sci-fi, vampire tv"
yama no susume: kabette kowakunai no,"comedy, slice of life",special,"yama no susume: kabette kowakunai no comedy, slice of life special"
.hack//liminalit,"game, mystery, sci-fi",ova,".hack//liminalit game, mystery, sci-fi ova"
3 choume no tama: uchi no tama shirimasenka,adventure,tv,3 choume no tama: uchi no tama shirimasenka adventure tv
amazing nuts,"adventure, music, police, romance, sci-fi",music,"amazing nuts adventure, music, police, romance, sci-fi music"
bakusou kyoudai let&#039;s &amp; go ma,"cars, shounen, sports",tv,"bakusou kyoudai let&#039;s &amp; go ma cars, shounen, sports tv"
blue dragon: tenkai no shichi ryu,"adventure, comedy, fantasy, supernatural",tv,"blue dragon: tenkai no shichi ryu adventure, comedy, fantasy, supernatural tv"
coyote ragtime sho,"action, adventure, comedy, mecha, sci-fi, shounen",tv,"coyote ragtime sho action, adventure, comedy, mecha, sci-fi, shounen tv"
dokonjou gaer,"comedy, slice of life",tv,"dokonjou gaer comedy, slice of life tv"
doraemon: it&#039;s winter,"adventure, comedy, fantasy, kids, shounen",special,"doraemon: it&#039;s winter adventure, comedy, fantasy, kids, shounen special"
doraemon: treasure of the shinugumi mountai,"adventure, comedy, fantasy, kids, shounen",special,"doraemon: treasure of the shinugumi mountai adventure, comedy, fantasy, kids, shounen special"
fluximatio,music,music,fluximatio music music
freezing special,"action, comedy, ecchi",special,"freezing special action, comedy, ecchi special"
gasarak,"drama, mecha, military, psychological, supernatural",tv,"gasarak drama, mecha, military, psychological, supernatural tv"
honoo no mirag,"action, drama, historical, romance, school, shounen ai, supernatural",tv,"honoo no mirag action, drama, historical, romance, school, shounen ai, supernatural tv"
kanoko,"comedy, ecchi, harem, romance, school, shounen, slice of life, supernatural",tv,"kanoko comedy, ecchi, harem, romance, school, shounen, slice of life, supernatural tv"
kanokon: manatsu no dai shanikusa,"ecchi, romance, slice of life",ova,"kanokon: manatsu no dai shanikusa ecchi, romance, slice of life ova"
ketsuekigata-kun! ,comedy,tv,ketsuekigata-kun!  comedy tv
koro no dai sanp,adventure,special,koro no dai sanp adventure special
kuro ga ita nats,"drama, historical",movie,"kuro ga ita nats drama, historical movie"
love get ch,"comedy, romance",tv,"love get ch comedy, romance tv"
love live! x watering kissmint collaboration c,music,special,love live! x watering kissmint collaboration c music special
madou king granzort: saigo no magical taise,"action, comedy, fantasy, magic, mecha, sci-fi, shounen",ova,"madou king granzort: saigo no magical taise action, comedy, fantasy, magic, mecha, sci-fi, shounen ova"
pokonyan,"comedy, fantasy, kids, magic",tv,"pokonyan comedy, fantasy, kids, magic tv"
queen&#039;s blade: utsukushiki toushitach,"action, adventure, ecchi, fantasy",ova,"queen&#039;s blade: utsukushiki toushitach action, adventure, ecchi, fantasy ova"
ryuugajou nanana no maizoukin (tv) special,comedy,special,ryuugajou nanana no maizoukin (tv) special comedy special
sacred seve,"action, school, sci-fi, super power",tv,"sacred seve action, school, sci-fi, super power tv"
sasami-san@ganbarana,"comedy, romance, supernatural",tv,"sasami-san@ganbarana comedy, romance, supernatural tv"
sensei no ojikan: doki doki school hours ov,"comedy, school",ova,"sensei no ojikan: doki doki school hours ov comedy, school ova"
shirayuki hime no densets,"adventure, fantasy, romance",tv,"shirayuki hime no densets adventure, fantasy, romance tv"
sky girls ov,"mecha, military, sci-fi",ova,"sky girls ov mecha, military, sci-fi ova"
spirit of wonder: china-san no yuuuts,"romance, sci-fi, seinen",ova,"spirit of wonder: china-san no yuuuts romance, sci-fi, seinen ova"
superflat monogra,"adventure, fantasy",special,"superflat monogra adventure, fantasy special"
tokyo undergroun,"action, adventure, romance, sci-fi, shounen, super power",tv,"tokyo undergroun action, adventure, romance, sci-fi, shounen, super power tv"
white albu,"drama, harem, music, romance",tv,"white albu drama, harem, music, romance tv"
wis,music,music,wis music music
